sch_name,sch_alias
江苏理工学院,常州技术师范学院
江苏理工学院,江苏技师学院
江苏理工学院,江苏技术师范学院
江苏理工学院,江苏理工学院
新疆维吾尔医学专科学校,新疆维吾尔医学专科学校
西宁城市职业技术学院,西宁城市职业技术学院
吉林建筑大学,吉林建筑大学
吉林建筑大学,吉林建筑工程学院
新疆师范高等专科学校,新疆教育学院
新疆师范高等专科学校,新疆师范高等专科学校
浙江大学医学院,浙江大学医学院
襄阳汽车职业技术学院,襄阳汽车职业技术学院
天津青年职业学院,天津青年职业学院
广东茂名健康职业学院,广东茂名健康职业学院
贵州工程职业学院,贵州工程职业学院
中国人民大学(苏州校区),中国人民大学(苏州)
中国人民大学(苏州校区),中国人民大学(苏州）
中国人民大学(苏州校区),中国人民大学[苏州]
中国人民大学(苏州校区),中国人民大学{苏州}
中国人民大学(苏州校区),中国人民大学（苏州)
中国人民大学(苏州校区),中国人民大学〔苏州〕
中国人民大学(苏州校区),中国人民大学（苏州）
中国人民大学(苏州校区),中国人民大学苏州校区
中国人民大学(苏州校区),中国人民大学(苏州校区)
中国人民大学(苏州校区),中国人民大学(苏州校区）
中国人民大学(苏州校区),中国人民大学[苏州校区]
中国人民大学(苏州校区),中国人民大学{苏州校区}
中国人民大学(苏州校区),中国人民大学（苏州校区)
中国人民大学(苏州校区),中国人民大学〔苏州校区〕
中国人民大学(苏州校区),中国人民大学（苏州校区）
电子科技大学(沙河校区),电子科技大学沙河校区
电子科技大学(沙河校区),电子科技大学(沙河校区)
电子科技大学(沙河校区),电子科技大学(沙河校区）
电子科技大学(沙河校区),电子科技大学[沙河校区]
电子科技大学(沙河校区),电子科技大学{沙河校区}
电子科技大学(沙河校区),电子科技大学（沙河校区)
电子科技大学(沙河校区),电子科技大学〔沙河校区〕
电子科技大学(沙河校区),电子科技大学（沙河校区）
合肥工业大学(宣城校区),合肥工业大学(宣城)
合肥工业大学(宣城校区),合肥工业大学[宣城]
合肥工业大学(宣城校区),合肥工业大学{宣城}
合肥工业大学(宣城校区),合肥工业大学〔宣城〕
合肥工业大学(宣城校区),合肥工业大学（宣城）
合肥工业大学(宣城校区),合肥工业大学宣城校区
合肥工业大学(宣城校区),合肥工业大学(宣城校区)
合肥工业大学(宣城校区),合肥工业大学(宣城校区）
合肥工业大学(宣城校区),合肥工业大学[宣城校区]
合肥工业大学(宣城校区),合肥工业大学{宣城校区}
合肥工业大学(宣城校区),合肥工业大学（宣城校区)
合肥工业大学(宣城校区),合肥工业大学〔宣城校区〕
合肥工业大学(宣城校区),合肥工业大学（宣城校区）
哈尔滨工程技术职业学院,哈尔滨工程技术职业学院
北京交通大学(威海校区),北京交通大学(威海校区)
湖北经济学院法商学院,湖北经济学院法商学院
榆林职业技术学院,榆林职业技术学院
苏州工业职业技术学院,苏州工业职业技术学院
河南应用技术职业学院,河南化工职业学院
河南应用技术职业学院,河南应用技术职业学院
广州华南商贸职业学院,广州华南商贸职业学院
重庆工贸职业技术学院,重庆工贸职业技术学院
广东环境保护工程职业学院,广东环境保护工程职业学院
兰州理工大学技术工程学院,兰州理工大学技术工程学院
黑龙江三江美术职业学院,黑龙江三江美术职业学院
宁夏工业职业学院,宁夏工业职业学院
河南工学院,河南工学院
河南工学院,河南机电高等专科学校
河南工学院,河南机电高专
河南工学院,河南機電高等專科學校
阳光学院,福州大学阳光学院
阳光学院,阳光学院
毕节医学高等专科学校,毕节医学高等专科学校
蚌埠医学院,蚌埠医学院
安徽大学江淮学院,安徽大学江淮学院
甘肃能源化工职业学院,甘肃煤炭工业学校
甘肃能源化工职业学院,甘肃能源化工职业学院
滨州职业学院,滨州职业学院
滨州职业学院,山东滨州职业学院
长春师范大学,长春师范大学
长春师范大学,长春师范学院
南昌航空大学科技学院,南昌航空大学科技学院
保山中医药高等专科学校,保山卫生学校
保山中医药高等专科学校,保山中医药高等专科学校
黑龙江旅游职业技术学院,黑龙江旅游职业技术学院
四川化工职业技术学院,四川化工职业技术学院
九江职业大学,九江职业大学
九江职业大学,九江職業大學
长江艺术工程职业学院,长江艺术工程职业学院
长江艺术工程职业学院,武当职业学院
大理农林职业技术学院,大理农林职业技术学院
鄂尔多斯生态环境职业学院,鄂尔多斯生态环境职业学院
海南体育职业技术学院,海南省高级体育运动技术学校
海南体育职业技术学院,海南体育职业技术学院
吉林职业技术学院,吉林职业技术学院
哈尔滨音乐学院,哈尔滨音乐学院
江苏航空职业技术学院,江苏航空职业技术学院
赣南卫生健康职业学院,赣南卫生健康职业学院
山东畜牧兽医职业学院,山东畜牧兽医职业学院
重庆资源与环境保护职业学院,重庆资源与环境保护职业学院
贵州电子商务职业技术学院,贵州电子商务职业技术学院
贵州应用技术职业学院,贵州应用技术职业学院
贵州电子科技职业学院,贵州电子科技职业学院
云南体育运动职业技术学院,云南体育运动职业技术学院
郑州理工职业学院,郑州理工职业学院
贵州航空职业技术学院,贵州航空职业技术学院
昭通卫生职业学院,昭通卫生职业学院
福建江夏学院,福建财会管理干部学院
福建江夏学院,福建江夏学院
福建江夏学院,福建金融职业技术学院
福建江夏学院,福建经济管理干部学院
福建江夏学院,福建政法管理干部学院
云南水利水电职业学院,云南水利水电职业学院
吐鲁番职业技术学院,吐鲁番职业技术学院
常州工学院,常工院
常州工学院,常州工学院
常州工学院,常州工學院
常州工学院,常州工业技术学院
常州工学院,常州师范专科学校
常州工学院,常州市机械冶金职工大学
常州工学院,常州市轻工业职工大学
哈尔滨广厦学院,哈尔滨广厦学院
哈尔滨广厦学院,哈尔滨商业大学广厦学院
重庆师范大学涉外商贸学院,重庆师范大学涉外商贸学院
惠州经济职业技术学院,惠州经济职业技术学院
四川托普信息技术职业学院,四川托普信息技术职业学院
辽宁中医药大学杏林学院,辽宁中医药大学杏林学院
莆田学院,福建医大莆田分校
莆田学院,福建医大莆田分校(专科)
莆田学院,福建医科大学莆田分校
莆田学院,莆田高等专科学校
莆田学院,莆田高专
莆田学院,莆田华侨体育师范学校
莆田学院,莆田学院
茂名职业技术学院,茂名市职业技术学院
茂名职业技术学院,茂名职业技术学院
北京城市学院,北京城市学院
北京城市学院,海淀走读大学
沧州职业技术学院,沧州职业技术学院
广州大学,纺织学院
广州大学,广州大学
广州大学,广州高等师范专科学校
广州大学,广州建筑总公司职工大学
广州大学,广州教育学院
广州大学,广州师范学院
广州大学,广州师范专科学校
广州大学,广州市联合职工大学电信学院
广州大学,廣州大學
广州大学,华南建设学院西院
广州大学,华南建设学院（西院）
成都艺术职业学院,成都艺术职业学院
成都艺术职业学院,成都藝術職業學院
北京石油化工学院,北京石油化工学院
北京石油化工学院,北京石油化工专科学校
安徽公安职业学院,安徽公安职业学院
安徽林业职业技术学院,安徽林业职业技术学院
鄂尔多斯应用技术学院,鄂尔多斯应用技术学院
山东政法学院,山东省政法管理干部学院
山东政法学院,山东政法管理干部学院
山东政法学院,山东政法学院
浙江财经大学,浙江财经大学
浙江财经大学,浙江财经学院
浙江财经大学,浙江财政银行学校
哈尔滨医科大学,哈尔滨医科大学
保险职业学院,保险学院
保险职业学院,保险职业学院
保险职业学院,中国保险管理干部学院
安徽师范大学皖江学院,安徽师范大学皖江学院
安徽师范大学皖江学院,皖江学院
天津职业大学,天津职业大学
石家庄理工职业学院,石家庄理工职业学院
蚌埠经济技术职业学院,蚌埠经济技术职业学院
武汉工程科技学院,武汉工程科技学院
武汉工程科技学院,中国地质大学江城学院
陕西职业技术学院,陕西省职业技术学院
陕西职业技术学院,陕西职业技术学院
陕西铁路工程职业技术学院,陕铁院
陕西铁路工程职业技术学院,陕西铁路工程职业技术学院
沈阳航空职业技术学院,沈阳航空职业技术学院
黑龙江职业学院,黑龙江职业学院
安徽水利水电职业技术学院,安徽水利水电职业技术学院
信阳学院,信阳师范学院华锐学院
信阳学院,信阳师院华锐学院
信阳学院,信阳学院
长春职业技术学院,长春职业技术学院
浙江经贸职业技术学院,浙江经贸职业技术学院
枣庄科技职业学院,枣庄科技职业学院
杨凌职业技术学院,杨凌职业技术学院
杨凌职业技术学院,杨凌职院
西南交通大学希望学院,西南交通大学希望学院
盐城幼儿师范高等专科学校,盐城建筑工程学校
盐城幼儿师范高等专科学校,盐城幼儿师范高等专科学校
广东石油化工学院,广东省茂名教育学院
广东石油化工学院,广东石油化工高等专科学校
广东石油化工学院,广东石油化工学院
广东石油化工学院,茂名教育学院
